CompanySize,WebsiteVisits,EmailOpens,LeadSource,Customer
181,2,6,Print,No
85,2,5,Tradeshow,No
103,6,6,Print,No
85,23,19,Adwords,Yes
199,2,5,Print,No
96,3,2,Tradeshow,No
124,6,2,Webinar,No
157,6,6,Print,No
91,4,2,Tradeshow,No
127,7,7,Tradeshow,No
140,3,4,Tradeshow,No
109,3,2,Adwords,No
120,6,5,Tradeshow,No
122,5,6,Webinar,No
86,27,19,Adwords,Yes
226,7,5,Print,No
87,8,15,Adwords,Yes
53,13,13,Webinar,Yes
116,5,4,Print,No
229,5,6,Print,No
85,22,24,Adwords,Yes
140,3,6,Print,No
100,7,6,Tradeshow,No
108,2,3,Tradeshow,No
95,4,2,Tradeshow,No
193,6,7,Print,No
166,6,2,Tradeshow,No
119,2,4,Webinar,No
200,2,5,Webinar,No
221,5,7,Print,No
172,2,3,Print,No
155,5,4,Print,No
104,7,6,Webinar,No
96,5,8,Tradeshow,Yes
113,5,7,Webinar,No
126,7,4,Adwords,No
60,25,5,Adwords,Yes
130,4,6,Tradeshow,No
99,5,4,Webinar,No
223,2,7,Tradeshow,No
66,13,15,Webinar,Yes
182,3,5,Print,No
81,9,19,Adwords,Yes
149,3,5,Adwords,No
226,6,4,Adwords,No
248,4,7,Webinar,No
196,7,5,Webinar,No
89,13,11,Adwords,Yes
78,15,10,Tradeshow,Yes
229,7,4,Webinar,No
148,7,4,Print,No
225,7,3,Tradeshow,No
240,5,4,Webinar,No
213,4,4,Print,No
199,3,3,Print,No
110,4,4,Webinar,No
209,4,3,Tradeshow,No
211,7,5,Webinar,No
226,7,4,Tradeshow,No
56,15,10,Adwords,Yes
248,7,7,Webinar,No
227,2,4,Tradeshow,No
83,29,20,Print,Yes
74,5,27,Adwords,Yes
227,3,3,Print,No
183,7,2,Adwords,No
221,3,4,Print,No
151,5,2,Print,No
136,2,4,Adwords,No
139,3,5,Print,No
83,7,19,Webinar,Yes
165,4,2,Adwords,No
98,25,21,Webinar,Yes
103,2,5,Webinar,No
60,23,25,Tradeshow,Yes
164,7,3,Tradeshow,No
190,6,2,Print,No
66,12,15,Print,Yes
224,5,6,Print,No
191,3,2,Print,No
247,6,6,Webinar,No
142,2,3,Tradeshow,No
211,4,7,Tradeshow,No
59,17,21,Webinar,Yes
152,5,5,Print,No
71,8,22,Tradeshow,Yes
244,2,2,Webinar,No
125,6,3,Print,No
64,25,25,Webinar,Yes
52,13,22,Adwords,Yes
76,15,20,Webinar,Yes
205,4,2,Webinar,No
223,6,7,Print,No
86,7,4,Tradeshow,No
70,13,29,Webinar,Yes
104,4,3,Tradeshow,No
169,2,4,Print,No
247,4,4,Print,No
122,6,6,Tradeshow,No
117,3,2,Tradeshow,No
83,6,17,Webinar,Yes
198,4,6,Tradeshow,No
148,3,2,Webinar,No
86,5,25,Tradeshow,Yes
111,4,7,Adwords,No
67,9,28,Adwords,Yes
55,28,7,Adwords,Yes
105,3,6,Print,No
202,4,3,Print,No
135,3,4,Tradeshow,No
128,5,2,Print,No
159,6,3,Print,No
57,23,26,Adwords,Yes
153,2,5,Print,No
182,2,7,Print,No
120,4,7,Webinar,No
151,7,6,Webinar,No
112,6,7,Tradeshow,No
181,7,6,Tradeshow,No
84,28,23,Print,Yes
79,18,27,Adwords,Yes
65,9,6,Adwords,Yes
149,6,4,Webinar,No
69,20,16,Tradeshow,Yes
94,3,3,Webinar,No
69,15,17,Print,Yes
238,3,3,Print,No
57,7,17,Webinar,Yes
170,2,4,Tradeshow,No
191,6,5,Print,No
224,3,4,Adwords,No
170,5,7,Tradeshow,No
153,7,7,Adwords,No
122,4,5,Print,No
90,13,22,Tradeshow,Yes
73,26,9,Webinar,Yes
70,14,24,Webinar,Yes
89,6,13,Webinar,Yes
147,4,3,Print,No
77,18,6,Webinar,Yes
79,7,15,Tradeshow,Yes
192,5,4,Tradeshow,No
141,5,3,Print,No
92,26,28,Webinar,Yes
102,6,7,Tradeshow,No
111,3,5,Print,No
207,4,7,Adwords,No
201,2,4,Tradeshow,No
130,2,7,Print,No
94,3,3,Print,No
225,7,7,Tradeshow,No
98,7,7,Tradeshow,No
101,5,7,Tradeshow,No
114,2,5,Tradeshow,No
147,7,4,Print,No
210,7,7,Webinar,No
82,9,20,Adwords,Yes
96,7,4,Print,No
128,3,7,Webinar,No
59,23,22,Tradeshow,Yes
75,19,25,Tradeshow,Yes
218,7,2,Webinar,No
152,2,7,Print,No
241,4,2,Tradeshow,No
232,6,2,Print,No
86,6,4,Adwords,No
238,3,2,Tradeshow,No
121,5,2,Tradeshow,No
99,14,24,Print,Yes
170,6,6,Print,No
213,4,6,Adwords,No
91,3,5,Webinar,No
170,6,5,Tradeshow,No
192,5,3,Print,No
84,21,20,Adwords,Yes
99,7,25,Webinar,Yes
117,6,4,Tradeshow,No
51,21,11,Webinar,Yes
203,3,2,Webinar,No
101,7,4,Tradeshow,No
153,3,4,Tradeshow,No
73,16,19,Adwords,Yes
176,4,7,Tradeshow,No
193,6,7,Tradeshow,No
151,5,3,Print,No
94,7,7,Webinar,No
236,7,6,Adwords,No
113,6,2,Print,No
147,3,3,Print,No
227,5,3,Tradeshow,No
97,12,22,Adwords,Yes
191,4,7,Tradeshow,No
62,8,11,Print,Yes
183,2,2,Tradeshow,No
168,2,7,Tradeshow,No
96,4,2,Webinar,No
201,5,7,Print,No
85,5,2,Tradeshow,No
202,7,6,Tradeshow,No
129,4,2,Tradeshow,No
85,4,6,Tradeshow,No
57,18,18,Print,Yes
90,29,28,Webinar,Yes
85,5,2,Print,No
243,7,3,Tradeshow,No
69,11,18,Print,Yes
97,28,5,Tradeshow,Yes
179,5,7,Tradeshow,No
80,28,26,Adwords,Yes
204,7,2,Tradeshow,No
109,4,7,Print,No
159,7,3,Adwords,No
123,4,3,Webinar,No
90,7,3,Print,No
79,10,24,Webinar,Yes
78,27,21,Webinar,Yes
68,13,5,Adwords,Yes
76,28,8,Tradeshow,Yes
70,24,28,Adwords,Yes
108,3,3,Webinar,No
154,7,4,Tradeshow,No
84,14,12,Adwords,Yes
243,5,4,Tradeshow,No
139,6,4,Print,No
100,7,3,Tradeshow,No
177,5,5,Print,No
161,2,5,Adwords,No
85,9,6,Print,Yes
50,24,23,Tradeshow,Yes
180,4,2,Print,No
127,2,2,Webinar,No
155,4,6,Print,No
228,7,5,Tradeshow,No
187,6,5,Print,No
200,6,2,Print,No
74,11,19,Adwords,Yes
160,2,6,Webinar,No
232,7,2,Tradeshow,No
63,16,7,Adwords,Yes
85,13,29,Print,Yes
141,5,2,Webinar,No
65,10,13,Webinar,Yes
181,2,5,Print,No
87,3,3,Webinar,No
100,2,7,Print,No
203,6,2,Tradeshow,No
76,20,12,Adwords,Yes
89,2,5,Tradeshow,No
167,6,7,Webinar,No
218,6,6,Adwords,No
59,9,20,Webinar,Yes
199,6,5,Webinar,No
171,6,7,Print,No
249,3,7,Print,No
56,27,25,Adwords,Yes
137,7,4,Print,No
244,2,6,Tradeshow,No
208,3,6,Print,No
93,27,21,Adwords,Yes
231,2,5,Print,No
98,26,22,Webinar,Yes
111,2,3,Print,No
203,2,7,Print,No
112,2,5,Tradeshow,No
190,4,5,Adwords,No
139,4,7,Tradeshow,No
131,5,4,Tradeshow,No
199,3,4,Print,No
85,5,15,Print,Yes
223,5,2,Adwords,No
179,5,2,Tradeshow,No
202,5,7,Adwords,No
128,5,4,Print,No
58,28,26,Adwords,Yes
192,2,6,Print,No
93,16,5,Tradeshow,Yes
159,4,6,Print,No
212,6,3,Adwords,No
248,4,5,Webinar,No
237,2,5,Tradeshow,No
60,29,22,Adwords,Yes
181,2,3,Tradeshow,No
219,5,5,Print,No
120,6,2,Adwords,No
99,23,9,Webinar,Yes
91,6,7,Webinar,No
53,23,12,Webinar,Yes
148,5,4,Print,No
125,2,6,Webinar,No
113,2,5,Print,No
146,4,4,Tradeshow,No
237,2,5,Print,No
71,15,25,Print,Yes
124,6,5,Adwords,No
100,2,7,Tradeshow,No
125,5,6,Print,No
243,5,4,Webinar,No
57,10,23,Webinar,Yes
98,5,4,Webinar,No
198,7,3,Webinar,No
202,6,4,Tradeshow,No
169,5,5,Print,No
123,6,5,Print,No
172,6,3,Adwords,No
211,2,2,Print,No
128,4,6,Webinar,No
93,2,2,Tradeshow,No
236,7,6,Tradeshow,No
55,13,20,Webinar,Yes
204,4,7,Print,No
146,6,6,Webinar,No
74,24,5,Print,Yes
75,20,25,Adwords,Yes
91,26,27,Webinar,Yes
99,5,5,Adwords,No
143,3,6,Tradeshow,No
178,4,2,Tradeshow,No
194,3,4,Print,No
65,24,22,Tradeshow,Yes
129,7,5,Print,No
124,4,4,Adwords,No
108,3,4,Adwords,No
96,16,21,Webinar,Yes
56,21,17,Tradeshow,Yes
121,3,2,Webinar,No
153,7,4,Print,No
179,6,3,Tradeshow,No
102,5,7,Print,No
195,4,3,Adwords,No
158,7,5,Tradeshow,No
85,7,22,Adwords,Yes
53,7,13,Webinar,Yes
162,7,4,Adwords,No
237,2,3,Tradeshow,No
131,4,2,Tradeshow,No
221,4,4,Print,No
141,5,5,Tradeshow,No
77,9,21,Webinar,Yes
187,7,7,Print,No
140,3,2,Print,No
86,26,20,Adwords,Yes
204,5,7,Print,No
235,3,7,Tradeshow,No
140,7,5,Print,No
212,3,2,Print,No
70,10,20,Print,Yes
227,7,5,Print,No
237,3,2,Adwords,No
246,2,6,Webinar,No
67,16,17,Adwords,Yes
96,7,2,Tradeshow,No
75,19,11,Adwords,Yes
70,26,24,Webinar,Yes
146,6,7,Webinar,No
161,7,5,Adwords,No
136,2,3,Webinar,No
62,7,13,Webinar,Yes
77,24,7,Webinar,Yes
140,2,2,Adwords,No
53,19,16,Tradeshow,Yes
127,6,4,Print,No
151,6,4,Tradeshow,No
107,2,3,Tradeshow,No
84,13,22,Webinar,Yes
207,2,5,Webinar,No
112,7,5,Adwords,No
118,4,2,Print,No
177,3,7,Print,No
216,3,4,Webinar,No
177,3,3,Adwords,No
109,3,7,Print,No
189,7,3,Tradeshow,No
82,19,11,Adwords,Yes
94,3,7,Tradeshow,No
64,22,11,Tradeshow,Yes
235,7,5,Tradeshow,No
165,2,4,Print,No
213,4,5,Print,No
135,3,4,Print,No
96,24,9,Webinar,Yes
177,2,6,Print,No
210,7,2,Tradeshow,No
79,11,25,Webinar,Yes
238,5,4,Tradeshow,No
198,7,5,Print,No
171,2,5,Print,No
72,20,8,Print,Yes
223,2,7,Tradeshow,No
230,7,4,Tradeshow,No
200,7,7,Webinar,No
224,6,3,Tradeshow,No
213,7,3,Adwords,No
173,2,6,Print,No
175,6,4,Webinar,No
241,6,6,Tradeshow,No
184,5,2,Tradeshow,No
83,20,11,Adwords,Yes
184,7,3,Webinar,No
94,29,7,Tradeshow,Yes
91,18,24,Webinar,Yes
94,3,2,Print,No
145,6,6,Print,No
72,13,28,Webinar,Yes
174,2,3,Adwords,No
153,3,7,Adwords,No
77,28,6,Print,Yes
57,8,24,Print,Yes
172,3,3,Adwords,No
149,2,6,Print,No
239,6,3,Adwords,No
108,7,7,Print,No
83,15,19,Webinar,Yes
149,2,6,Tradeshow,No
78,16,21,Webinar,Yes
111,5,2,Print,No
175,6,2,Tradeshow,No
73,29,25,Adwords,Yes
99,2,6,Print,No
218,2,6,Print,No
91,8,10,Print,Yes
136,7,5,Print,No
138,6,2,Webinar,No
125,2,3,Print,No
84,14,11,Webinar,Yes
126,7,7,Adwords,No
213,5,2,Webinar,No
91,5,5,Print,No
71,28,19,Print,Yes
154,7,7,Adwords,No
230,5,4,Tradeshow,No
64,21,18,Adwords,Yes
94,26,27,Webinar,Yes
168,3,2,Tradeshow,No
165,3,5,Adwords,No
98,22,27,Webinar,Yes
71,5,10,Adwords,Yes
130,2,2,Tradeshow,No
189,4,2,Webinar,No
98,2,5,Webinar,No
197,6,6,Adwords,No
119,6,5,Print,No
188,2,5,Print,No
158,3,7,Tradeshow,No
225,3,7,Print,No
184,4,6,Tradeshow,No
93,7,4,Adwords,No
216,7,5,Print,No
120,5,3,Tradeshow,No
132,7,7,Print,No
89,7,3,Tradeshow,No
99,9,17,Adwords,Yes
65,27,13,Print,Yes
72,15,11,Tradeshow,Yes
138,5,3,Print,No
93,15,20,Adwords,Yes
148,4,5,Print,No
61,17,5,Webinar,Yes
154,4,6,Adwords,No
174,7,6,Adwords,No
188,5,5,Webinar,No
118,6,3,Print,No
198,2,7,Webinar,No
125,4,3,Print,No
128,5,4,Webinar,No
194,2,5,Print,No
211,5,5,Adwords,No
186,6,6,Adwords,No
122,4,7,Adwords,No
158,4,2,Tradeshow,No
205,2,4,Adwords,No
103,3,3,Webinar,No
69,21,9,Adwords,Yes
92,6,3,Webinar,No
222,7,3,Tradeshow,No
98,6,7,Adwords,No
92,25,8,Webinar,Yes
140,2,6,Print,No
245,5,6,Tradeshow,No
194,7,6,Adwords,No
145,5,3,Adwords,No
133,2,3,Webinar,No
137,7,6,Tradeshow,No
229,7,2,Tradeshow,No
209,3,4,Adwords,No
50,27,13,Webinar,Yes
66,20,7,Webinar,Yes
198,2,7,Print,No
150,6,5,Tradeshow,No
129,5,7,Adwords,No
204,3,7,Tradeshow,No
97,7,28,Webinar,Yes
208,4,7,Adwords,No
103,7,5,Webinar,No
157,2,2,Print,No
134,5,2,Tradeshow,No
184,6,7,Adwords,No
166,4,7,Print,No
102,2,3,Print,No
155,6,2,Print,No
121,3,7,Print,No
245,4,4,Adwords,No
157,6,4,Adwords,No
94,19,10,Tradeshow,Yes
242,6,2,Webinar,No
237,2,3,Tradeshow,No
61,15,27,Print,Yes
72,10,17,Adwords,Yes
194,6,4,Tradeshow,No
199,7,4,Webinar,No
114,3,6,Adwords,No
93,26,26,Adwords,Yes
238,2,6,Tradeshow,No
97,18,24,Print,Yes
238,7,2,Print,No
222,7,2,Print,No
146,4,3,Tradeshow,No
180,3,7,Adwords,No
121,4,3,Print,No
239,5,6,Adwords,No
211,3,2,Print,No
85,5,3,Tradeshow,No
211,6,5,Tradeshow,No
229,7,4,Print,No
200,2,3,Tradeshow,No
221,4,6,Adwords,No
135,2,7,Adwords,No
241,3,7,Webinar,No
115,3,7,Print,No
